image_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
apple_3_1_121,0.86652,-1.87437,-2.9989,22.3041,-1.08846,-2.5909,-1.71439,-4.33263,-0.571183,-3.61991,0.383458,-0.826772,-0.878088,3.21303,-1.93094,1.93398,2.13809,-2.7686,-3.68612,0.981186,0.935442,-2.07464,-3.46077,3.5102,2.32532,-0.474454,-3.89544,-3.80041,5.01275,4.11151,-2.15549,-0.823465,-2.47966,-1.80473,-3.91826,-3.35073,-2.13592,0.127791,2.9593,-3.92073,0.570173,-0.175852,-3.52186,2.24076,0.359382,-1.40377,3.84894,5.77498,4.76221,0.590696,-1.94933
apple_3_1_165,0.846245,-1.5394,-3.66761,20.9865,-1.15897,-2.6372,-1.10483,-4.72582,-1.24475,-3.57915,0.298234,0.134271,-0.499516,4.02283,-1.46032,2.998,0.773961,-2.20202,-2.99802,0.810541,0.327714,-1.57381,-3.09339,3.04023,2.25349,-0.293494,-3.16955,-4.52841,3.93819,1.52657,-3.28355,-1.1614,-2.06905,-1.2554,-4.77545,-2.94245,-1.9821,-0.201303,4.04412,-2.76385,1.40053,-0.422353,-4.21193,1.58404,0.356525,-0.577906,4.66937,5.56902,5.86318,0.0171314,-1.74445
apple_3_2_194,1.41436,-2.01299,-1.6565,19.1641,-1.64822,-2.25474,-2.30872,-3.69944,0.37867,-3.69982,1.52475,-0.426643,0.0777825,1.69523,-1.97807,3.91382,1.78167,-2.64633,-3.75684,1.30342,-0.356833,-1.81924,-4.32443,1.85583,4.27536,0.103344,-4.08081,-2.90322,6.38641,1.9295,-2.6496,0.183834,-2.02499,-1.61532,-3.36641,-3.22792,-1.96919,-0.00342822,1.4867,-3.38137,0.863405,-0.0814396,-3.52906,1.47231,0.2313,-0.942853,3.16763,3.64993,4.22475,-0.139957,-2.11946
apple_3_2_40,1.06361,-1.60124,-2.3967,19.9749,-1.84746,-2.13462,-1.59384,-3.82938,0.604851,-3.81344,1.42422,-0.494691,-0.653077,1.76662,-2.31062,3.46052,1.98737,-3.24284,-3.64313,1.03007,0.602876,-2.90596,-4.49445,3.58585,3.52989,0.354113,-4.68974,-3.01236,6.34253,2.56449,-2.77465,0.0458703,-1.91626,-1.73199,-3.49604,-3.62337,-1.92017,0.0133651,3.05359,-3.80513,0.949004,-0.497659,-2.34305,1.75206,0.405319,-1.36828,2.68293,4.73537,4.02028,-0.180091,-1.78958
apple_3_4_2,2.22349,-1.89548,-1.42484,16.7009,-0.726285,-2.32616,-1.15616,-2.95406,-0.104968,-2.89437,0.859039,1.79055,-0.563476,1.34566,-1.5158,4.74883,0.676063,-2.16817,-2.73968,0.272486,-0.917016,-2.01679,-3.19203,4.05221,3.18412,0.201119,-2.32731,-2.30925,3.011,-0.788728,-3.10582,0.555826,-1.46285,-0.996587,-3.4733,-2.30169,-1.32975,-0.0446798,3.3706,-1.83983,-0.0949203,-0.148564,-1.99305,-0.731923,0.796967,-0.934891,1.29854,3.41187,1.72265,-0.905635,-1.9634
apple_4_1_185,0.63934,-1.8696,-2.81315,20.7471,-0.77905,-2.68465,-1.92651,-4.76787,-0.61977,-4.18374,0.64058,-0.135275,-0.16042,5.08807,-1.14453,3.75556,-0.11396,-2.11923,-3.61444,0.83208,-0.315378,-1.13596,-3.7996,3.08005,2.85934,0.017533,-2.23879,-3.72963,6.12953,1.47212,-3.01023,-1.25224,-2.70909,-1.50057,-5.03194,-2.79735,-1.46494,-0.983618,2.51473,-2.82228,0.400237,-0.835152,-3.61589,2.40369,-0.000897343,-0.638866,4.10389,4.57151,5.09343,0.163547,-1.51695
apple_4_2_111,1.11261,-1.64702,-2.30375,21.3387,-1.33882,-2.55376,-2.11314,-3.6809,0.102148,-3.52236,0.668529,0.0575791,-0.71006,2.58395,-2.82294,3.43288,1.85928,-2.79543,-3.38321,0.674382,0.318945,-2.35528,-4.79898,1.47763,3.1836,-0.062095,-4.26234,-3.74764,6.42651,0.963327,-2.96527,1.35612,-1.83262,-1.37183,-3.78052,-3.22726,-1.63592,0.201367,4.35658,-3.62267,0.512883,0.105779,-4.3903,1.39343,0.402886,0.186692,3.38122,2.91456,3.37805,0.393588,-2.13241
apple_4_2_195,0.936084,-1.66359,-2.50852,21.5437,-1.48899,-2.1442,-1.4816,-3.75415,0.360621,-3.8209,0.351094,0.111637,-0.553622,2.60548,-2.39854,3.52253,1.50606,-3.2671,-3.58929,1.38314,-0.141418,-2.28623,-4.69173,3.22935,3.59962,0.796779,-4.88232,-3.02141,8.52142,1.08167,-3.765,0.152125,-2.10046,-1.69598,-4.01199,-3.82234,-2.13349,-0.286178,2.81569,-3.90595,1.42614,-0.897525,-2.93143,1.69441,0.547377,-0.409228,3.95491,2.85597,4.36137,-0.121312,-2.2063
apple_4_2_218,0.879286,-1.81296,-2.63501,20.5228,-1.35019,-2.42746,-1.03583,-3.9966,-0.140239,-3.95755,0.58318,-0.131163,-0.671814,2.15329,-1.64153,3.75871,1.73166,-2.96951,-3.48013,1.25743,0.0419442,-2.19518,-4.51511,3.54976,3.33906,0.654338,-3.83085,-3.3185,5.68606,1.55848,-2.86089,0.22527,-1.77811,-1.37263,-4.13814,-3.53736,-2.1061,0.00825873,2.80077,-4.09363,1.98942,-0.423478,-3.09146,1.16601,1.08044,-0.453496,3.98022,3.22756,4.0394,-0.261854,-2.14342
apple_4_2_31,1.00754,-1.88289,-2.53594,19.3878,-1.56553,-2.396,-1.41549,-4.01492,-0.00484374,-3.95812,0.321111,0.0569912,-0.748239,2.02921,-1.78243,3.7729,0.985931,-2.78428,-3.48478,1.07074,-0.00706805,-2.24658,-4.28307,3.56254,3.49364,0.433184,-3.66797,-2.78051,6.31594,1.20443,-3.18423,0.0567589,-2.03994,-1.59089,-3.75865,-3.36669,-2.24558,-0.126236,3.33343,-3.952,3.25033,-0.0916031,-2.5189,1.10192,0.847259,-0.520745,3.3941,3.67181,4.02749,-0.373716,-2.3716
apple_5_1_134,1.54372,-1.56952,-3.4842,22.1601,-0.212114,-3.21021,-2.30999,-4.0901,-0.607803,-3.00297,-0.183826,3.3022,-1.5167,1.71321,-1.82043,-1.13052,2.43098,-2.3765,-3.05958,0.532138,1.36674,-2.37947,-2.33544,0.709851,1.35657,-0.592762,-3.32453,-3.52024,3.96193,1.9005,-2.57038,0.405732,-2.68778,-1.91277,-2.73535,-2.63248,-1.8052,0.642111,3.36079,-4.08763,2.67017,1.69144,-3.65897,1.35438,-0.40099,-1.78472,3.97943,6.24274,3.25564,-0.302425,-2.15236
apple_5_4_116,1.36225,-1.378,-2.17004,15.9688,0.775049,-2.19733,-1.54584,-2.52692,0.782644,-2.43204,0.00270475,4.19788,-1.96954,-0.00783341,-0.802213,-0.602508,2.0499,-2.71993,-3.01817,0.527082,-0.00458325,-2.45038,-2.80941,2.0682,1.75378,-0.44259,-2.87304,-0.984106,3.86444,0.202939,-2.70077,1.37104,-2.08589,-1.27457,-1.99946,-2.39587,-1.01081,-0.279493,1.59655,-2.81286,2.30746,1.49592,-3.19918,-0.373418,0.730886,-1.32708,1.23859,4.11406,0.81725,-0.783778,-0.815552
apple_5_4_140,2.37727,-1.46665,-1.75106,18.8943,0.31018,-2.71391,-2.20409,-2.74476,0.628931,-2.32684,0.27366,3.62496,-1.33594,0.763891,-0.111615,-0.782583,1.94532,-3.24555,-3.01712,1.24063,1.24161,-3.21417,-2.36969,2.08941,1.14605,-0.0277932,-3.88018,-1.84569,4.44854,0.814835,-3.12657,1.07973,-2.64176,-1.56299,-3.26438,-2.5587,-0.515826,0.176787,2.59957,-3.47913,1.25428,0.344186,-2.7922,-0.682761,0.44083,-1.76113,1.50066,4.99617,1.71489,-0.859005,-1.56224
apple_5_4_215,1.67114,-0.776044,-2.28342,16.1662,0.255872,-2.08824,-1.76731,-3.28841,-0.59461,-3.38683,0.0674149,4.72398,-1.16722,0.767843,-1.9869,0.357561,0.411893,-2.31054,-3.05927,0.896089,2.09608,-2.97971,-2.6839,1.0507,2.1201,0.443889,-2.42711,-2.44314,4.18023,0.38407,-3.20802,1.15888,-1.67409,-1.32693,-2.59936,-2.17496,-0.898533,0.354519,2.92745,-3.618,1.90743,1.63375,-2.39077,-0.0738333,0.111978,-1.39255,1.33811,4.643,2.99674,-0.914248,-3.15885
apple_5_4_21,1.53247,-0.738914,-2.82419,15.0609,0.294129,-2.48121,-0.514006,-2.536,-0.674948,-2.91655,0.0311055,4.44166,-1.82989,-0.217978,-0.935096,-0.148267,1.3785,-2.62403,-2.70482,1.09959,1.31728,-2.84165,-2.10674,1.71589,1.06954,0.849319,-2.38119,-2.48343,2.94766,-1.02947,-3.31225,1.34437,-1.26938,-1.12723,-1.90949,-2.053,-1.15417,0.447587,3.55317,-3.3675,2.33052,1.44292,-2.66526,-1.1482,0.413059,-0.922864,2.94243,3.94237,2.55481,-1.30622,-2.81961
ball_1_1_27,-2.23261,-1.11373,5.99966,-0.213762,0.34071,-2.02089,-1.1825,0.436483,-0.341074,-4.22322,0.583155,3.23418,-2.88689,0.228282,1.68684,-1.34994,5.25211,-1.37853,-0.603447,-0.339839,-2.64521,-0.494147,2.53033,-0.705087,-3.30335,-2.60882,8.91521,-0.701925,0.756377,-0.197434,-1.11494,-3.08201,-3.3855,-1.43571,10.156,1.95837,-1.35568,-2.0786,4.84066,0.910265,-0.999043,-2.47483,2.18301,-3.5635,-0.78983,-2.26805,1.07231,-2.8762,-1.10939,-1.08177,3.16954
ball_1_1_282,-0.109171,-0.997984,5.21739,-0.602753,1.1639,-1.9744,0.629436,-0.062618,1.27031,-4.47581,0.568946,2.21989,-2.66905,-0.836619,1.72312,-1.85245,3.0823,-0.9502,-1.7733,-1.03755,-2.50298,-1.34312,4.65655,-1.40375,-3.37472,-2.10797,11.2736,-2.53103,3.28438,0.264778,-1.1422,-4.13319,-3.20049,-1.79378,12.7627,1.24304,-2.58861,-2.64237,4.88552,1.81817,-0.364619,-2.0632,2.23162,-2.66528,-1.49492,-3.05675,0.451953,-2.35499,-1.91279,-2.32983,4.20207
ball_1_2_118,-0.863534,-1.93296,7.04073,-1.10263,-0.358978,-1.76409,-2.25494,0.413488,-0.060239,-3.45427,2.16687,2.55948,-1.35237,-0.243648,1.86235,-0.366338,5.30723,-1.80143,0.284956,-0.966001,-2.57853,-0.964254,1.94454,-0.830974,-2.51403,-2.88117,12.3837,0.705689,1.59996,-0.331343,-2.10887,-3.34228,-3.54519,-0.787113,7.35293,1.46845,-1.68482,-2.4432,5.39582,1.99938,-2.95012,-3.08853,1.32794,-3.55772,-0.483908,-2.05402,-0.0335887,-3.95443,-0.650751,-0.851148,2.7121
ball_1_2_185,-1.07373,-0.19036,4.9615,-0.225858,1.85289,-2.20301,-0.462163,1.32009,0.561037,-4.1834,0.985461,3.12248,-2.64231,0.607233,0.60458,-2.30928,2.08383,-0.180381,-1.42809,0.0935427,-2.9792,0.128995,4.75778,-1.5098,-3.1058,-3.25653,8.43118,-1.45886,1.24502,0.356069,-0.293823,-3.89523,-3.1661,-0.763512,11.9492,1.64084,-2.59452,-1.76006,3.82513,2.48153,0.0246355,-1.8147,0.178803,-2.69551,-1.93476,-3.41159,-0.720728,-2.98029,-2.22473,-1.88816,4.88544
ball_1_4_124,0.347335,0.17139,4.30663,-0.626795,-0.0990639,-2.21806,1.63056,2.80392,0.579196,-4.25826,-0.0423754,1.25833,-3.8705,-1.53402,-0.869231,-3.29123,4.13017,0.413471,-1.4544,-1.28884,-2.41806,-0.884551,2.99159,-0.116486,-3.01172,-2.77585,6.52345,3.49834,2.32013,0.0343951,-0.569166,-3.42831,-2.88849,-2.05887,17.5446,1.00788,-3.78606,-1.27263,0.724295,3.27089,2.26899,-1.34719,1.44217,-1.57653,-1.62532,-3.60263,-0.679669,-3.08314,-3.084,-1.84939,3.65432
ball_2_1_186,3.7316,-0.615051,1.3549,-1.08624,0.995315,-3.10849,3.10777,-0.758774,-1.44321,-4.31556,-0.397777,1.71468,-2.77465,-0.674063,3.32109,0.648707,1.81843,-2.17347,-0.132155,-1.9469,-2.18637,-1.52645,3.33128,-2.33008,-3.43679,-2.459,19.0816,-3.49808,-0.886073,-0.156801,2.0256,-1.30383,-2.66285,-0.271299,3.23608,3.87041,-1.69308,-0.406949,-1.91441,-1.20856,0.942068,0.119964,-0.728697,-2.35232,-0.55992,-0.370064,2.80141,0.219204,-3.07697,-2.81333,2.31628
ball_2_1_5,6.13421,-1.41596,1.56871,-0.812344,-0.173334,-3.30656,0.468766,0.0310674,-0.973636,-3.32855,-1.24438,2.81341,-1.86288,-0.161103,2.57897,0.850803,0.149798,-2.15986,-0.693085,-1.84676,-1.66398,-2.06266,2.54842,-2.09057,-3.30794,-2.3844,16.1487,-1.58107,-1.02454,-0.539482,1.32403,-0.88326,-2.12944,-0.309216,3.10112,1.44746,-1.13917,0.208226,-0.770407,0.981084,0.859538,0.598386,-1.30205,-1.92921,0.375515,0.175567,2.59316,0.40382,-2.81571,-3.19647,1.06529
ball_2_2_213,3.13131,-1.01055,2.48628,-1.51287,1.37887,-2.93347,1.40699,0.995495,-0.072457,-3.64765,-0.595328,3.03139,-2.90311,-1.43032,1.41214,1.21702,1.44746,-2.08118,-0.381458,-1.82576,-2.18628,-1.49507,0.574518,-1.44199,-2.26273,-2.71787,17.269,-0.82967,-0.278617,-1.2054,1.61167,-0.235213,-2.79406,-0.214991,4.36033,3.48141,-0.77409,-0.541892,-1.44827,0.922294,-0.0851514,1.06035,-1.39224,-2.12218,-0.270559,-1.10351,3.02249,-1.57631,-3.62809,-3.34879,1.38596
ball_2_2_75,4.45197,-0.683192,0.997729,-1.83236,0.297215,-3.14483,3.75826,0.695498,-0.348216,-2.87912,-1.08812,2.76392,-2.71528,-1.67135,1.27684,0.814876,1.40655,-1.9904,-0.361149,-1.60676,-1.58918,-2.48041,2.35191,-2.00023,-2.79939,-2.4953,18.0983,-1.74974,-2.04309,-0.0949265,2.3968,-1.22644,-1.803,-0.500316,5.41373,3.35925,-1.43776,-0.00773105,-2.41205,0.201318,0.539052,1.08972,-1.82185,-2.20516,0.354106,-1.64605,1.68799,0.474062,-3.41025,-3.78941,1.42955
ball_2_4_235,2.62961,-0.919062,2.71867,-2.46461,0.331555,-3.00534,1.79584,2.70387,-0.662291,-1.71275,-2.37844,3.39678,-3.27464,-2.38559,0.802125,0.946208,2.11596,-2.04274,-0.228999,-1.56212,-1.96062,-1.54424,2.05753,-2.37159,-2.6874,-2.64341,17.5258,-0.714001,-2.27258,-1.36918,2.53123,-0.663275,-1.94622,-0.559566,4.76633,3.53746,-0.998198,0.473366,-1.79514,1.51197,-0.594793,1.01633,-1.55412,-2.77213,0.0466795,-0.33514,2.34177,-1.68059,-3.51729,-3.1609,0.760119
ball_3_1_15,3.47308,1.32818,-1.79117,-0.974559,3.27634,-1.14215,2.91712,1.07905,0.132463,-5.25241,-0.628829,3.20161,-4.55535,-1.35303,1.20525,0.669637,2.65123,-2.41743,0.886616,-1.44291,0.398296,-2.45143,1.06817,-0.0981047,-3.35324,0.0911869,16.2692,-2.43797,-3.23525,-0.956286,1.4895,-1.90082,-1.82429,0.209574,6.32277,-0.0815225,-1.9432,-0.603567,0.513732,-0.940521,2.47243,-2.00866,0.513886,-2.07496,0.850976,-2.01298,2.16781,-2.92366,-1.63016,-1.42662,1.95283
ball_3_1_199,2.84674,0.859646,-1.257,-1.07798,2.61516,-1.5624,3.29091,0.770915,-1.44095,-6.15896,-1.00137,3.44371,-5.2477,-1.35247,1.25966,1.81484,3.12377,-2.07194,2.32806,-1.20003,-0.319235,-1.42566,0.330095,0.73379,-3.24651,-0.093702,17.4804,-1.96811,-3.94223,-1.85267,1.09486,-1.49018,-2.18708,-0.0187297,3.74407,1.69755,-1.08527,0.0441375,0.762344,-0.408084,1.94496,-2.07926,1.12923,-3.06596,1.06329,-1.92334,3.88243,-2.59392,-1.50405,-1.96048,0.816487
ball_3_1_76,1.95264,2.43819,-2.02021,-1.48462,3.29677,-1.65723,4.76512,0.0912748,-1.12904,-6.92517,-1.41691,3.82782,-5.58602,-2.87752,1.14424,0.499722,4.77532,-1.87148,1.33129,-1.21575,0.527025,-1.84676,0.889743,1.06485,-3.06877,1.12093,18.8411,-2.12944,-4.15747,-1.76691,1.83391,-2.55165,-2.37016,0.0279059,5.21312,1.66606,-1.46182,-0.901327,-0.743507,-2.27639,4.97334,-1.90103,2.28039,-2.59221,0.915493,-2.91746,4.17053,-2.96309,-1.75446,-2.58139,0.224882
ball_3_1_8,5.17684,0.64137,0.510724,-1.01232,1.97647,-1.95587,2.50306,1.37564,-0.468737,-5.18071,-0.789582,4.01243,-4.05114,-0.791177,-0.121355,1.60671,1.47227,-3.12052,0.713993,-1.67022,-0.41886,-1.93063,2.73577,-1.20974,-3.60991,-1.24549,15.78,-1.60447,-1.85828,-0.958591,0.931319,-2.24696,-2.39448,-0.234937,5.74779,0.364703,-1.04132,-0.36943,0.350463,0.223624,2.18993,-2.15255,1.66144,-2.68517,0.806696,-1.51418,2.24441,-2.6184,-2.00869,-2.51629,1.27292
ball_3_4_202,3.40691,1.28951,0.188485,-2.15193,2.4203,-1.39477,3.49083,1.60861,-1.891,-4.93797,-1.76537,2.62954,-5.3945,-1.73477,0.502073,1.7237,2.93532,-1.54077,1.20271,-1.31273,-0.909298,-2.14926,0.281772,0.167085,-3.08069,-0.401541,16.9902,-0.701903,-3.35315,-1.55544,2.44515,-0.850569,-1.28079,0.592564,4.34909,2.69149,-2.01764,0.63445,-1.29523,0.297944,0.147719,-0.639552,-0.678665,-3.49545,1.75587,-1.73345,2.88667,-2.57759,-3.23944,-1.76613,1.21429
ball_4_1_171,-1.2694,-0.292817,1.75848,-1.01456,1.63007,-2.61516,3.33172,-2.49576,-1.76593,-5.24299,1.16277,1.67533,-3.57004,-0.766139,3.01193,0.257388,5.16467,-0.772052,0.898984,-1.73649,-2.04238,-0.124771,2.3012,0.821111,-2.4313,-1.61157,19.1679,-4.91896,-0.0524049,-1.26626,-0.678189,-3.86838,-3.1097,-0.252127,5.29493,3.40107,-3.24015,-2.62175,5.05768,1.856,-1.25558,-1.02569,0.776356,-2.91022,-0.955232,-1.40418,1.62918,0.174682,-2.11445,-2.29439,1.4604
ball_4_1_240,-2.04224,-0.619551,1.04475,-0.989941,1.85945,-2.20265,1.88326,-1.49442,-1.56033,-4.98875,0.227352,2.18935,-4.07078,-1.6671,0.661425,0.647823,6.36174,0.348591,0.851278,-1.26665,-1.76329,0.23574,0.165889,2.54533,-2.11313,-1.78563,17.1805,-2.65357,0.554172,-2.11335,-0.757881,-2.77412,-3.52549,-0.264844,5.57554,3.95863,-2.46698,-1.55101,4.56472,1.21885,0.916488,-0.279976,1.27261,-2.37779,-0.730497,-2.48868,1.84273,-1.51129,-2.29001,-2.41847,-1.03682
ball_4_1_44,-1.55336,-0.154183,1.00702,-1.35621,1.67665,-1.9825,2.33989,-1.35599,-1.9778,-4.44703,0.792417,1.59749,-3.36634,-1.16743,1.39246,0.801556,6.02898,-0.19442,1.20559,-1.745,-2.03837,0.313874,1.98789,1.61899,-2.30186,-1.56642,18.7714,-2.96333,1.1465,-1.55753,-0.575608,-3.43133,-2.51798,-0.484124,3.61236,4.50667,-3.03996,-1.84268,3.83511,1.22514,-0.921055,-1.16589,2.28036,-2.46349,-1.15893,-2.49804,1.37954,-1.00678,-2.89699,-1.92354,-0.364173
ball_4_2_88,0.38258,-0.412697,1.67393,-2.1511,0.584994,-2.52441,2.48484,-0.457854,-1.63675,-4.65452,0.842095,0.803427,-4.04607,-1.79404,1.38868,0.143819,8.50689,-0.344275,1.70938,-2.59465,-2.31459,0.218573,1.0613,1.5987,-2.07774,-1.76516,20.4623,-1.84595,3.08034,-1.56972,-0.447013,-3.46866,-2.74132,-0.766791,6.21015,3.47557,-3.65402,-1.79562,1.57606,1.62534,-0.146296,-1.05172,1.16712,-2.3024,-0.62415,-2.82842,1.01322,-2.39801,-3.33601,-2.6511,0.403264
ball_4_4_146,-0.131688,-1.11326,5.33492,-2.78871,2.54009,-1.49104,1.05457,0.760302,-2.28387,-3.33772,-0.138363,1.89683,-4.14909,-0.95454,-0.475865,1.40002,6.13272,-0.200712,0.615247,-1.97668,-2.46141,0.564146,1.24569,-0.351121,-2.52833,-3.22463,19.4665,-1.27086,0.572466,-0.696145,0.430716,-3.4888,-2.39679,-0.340146,4.81803,4.10806,-3.26434,-0.778609,0.704441,3.82994,-2.15126,-0.35801,-0.726274,-2.9567,0.145493,-1.66593,0.00170975,-1.6353,-3.63941,-2.09993,1.12375
